Vehicle_ID,Date,Distance_Travelled (km),Fuel_Consumed (L),Maintenance_Cost (USD),Trip_Count,Driver_Name,Region,Revenue (USD),Trip_Duration (hours)
V2824,2024-01-01,189.01979777868624,25.807023758251567,460.5901692419103,2,Diana,West,847.6389427866118,3.7188881306785992
V1409,2024-01-02,248.3704355732652,41.31119086494766,116.70290400902773,9,Alice,West,816.908054016818,7.9240505527833935
V5506,2024-01-03,310.8082124157812,37.54760359212511,82.63498189720764,5,Bob,West,1685.8901976067475,4.080806371579814
V5012,2024-01-04,379.56189557265725,22.817691947896588,364.1300636915917,7,Bob,North,1183.7420666703995,2.39104385202027
V4657,2024-01-05,90.56001908579853,41.74039516699087,461.0147779074589,4,Charlie,South,139.39581141924484,6.590964292378927
V3286,2024-01-06,182.79970323311989,38.56120172743171,425.2563614900724,9,Bob,North,143.64317993755236,7.424904448868164
V2679,2024-01-07,386.3663892222672,31.024006927656593,175.32262942632184,7,Alice,West,1161.2069720737836,6.378896998626092
V9935,2024-01-08,129.038031699938,7.038041122752295,30.5181901969147,6,Alice,West,1262.806003470659,9.000283978100752
V2424,2024-01-09,109.4719089860526,20.503798995296055,301.5724040437805,6,Alice,North,534.5437669977924,9.631317452917548
V7912,2024-01-10,292.73349154298944,7.869196045043744,460.26759079093694,8,Bob,East,269.0554816338596,9.700969415147037
V1520,2024-01-11,487.17031154510295,49.73556472146141,391.6959194335481,8,Ethan,East,978.6072781436575,7.763750930976894
V1488,2024-01-12,288.88356816625327,47.05622594982259,426.3108260379846,10,Bob,East,597.3880144387199,2.8417689546551683
V2535,2024-01-13,461.0691385167636,8.105861577214121,433.12134396394435,1,Charlie,West,1718.4786552238188,5.269274281445059
V4582,2024-01-14,423.71267880532884,47.01990031632188,481.06820013236376,9,Alice,North,194.5876327303523,10.70664295625528
V4811,2024-01-15,165.63653805346803,6.428069196038557,199.32357444001914,3,Charlie,North,1274.207694194588,9.262498964374837
V9279,2024-01-16,421.1104156440833,23.39901211186617,472.12314246465996,8,Alice,East,1240.7461888663454,5.116927008960139
V1434,2024-01-17,266.8315234431835,39.60374281625672,209.88586992985006,3,Charlie,East,383.57728175235087,6.707816027901619
V4257,2024-01-18,412.91982220719495,39.46224573156703,68.49544168672944,4,Diana,North,1920.2624417770526,2.9689836914841408
V9928,2024-01-19,385.95170782267024,49.02499782158454,164.84727378822515,2,Diana,West,423.23347925962986,8.837355607097342
